profile,time,depth,vol,tot_TotParticles,tot_nparticles,tot_nnparticles,tot_biovolume,tot_flux,tot_flux_fit,tot_speed,small_TotParticles,small_nparticles,small_nnparticles,small_biovolume,small_flux,small_flux_fit,small_speed,big_TotParticles,big_nparticles,big_nnparticles,big_biovolume,big_flux,big_flux_fit,big_speed,icp,psd,psd_gam,psd_seg,icp_gam,icp_seg,small_icp,small_psd,big_icp,big_psd,tn_flux,tot_flux2
stn_038,2017-01-11T03:52:44Z,475,640.64,5182,8.088786213786214,251.6191832839223,2.8535639834170987,1.7186013356694398,18.04531402452912,0.602264867953457,5170,8.070054945054945,251.53819131228818,2.835319757604477,1.7004427627793863,17.854649009183557,0.5997357998930135,12,0.018731268731268732,0.08099197163409806,0.018244225812621556,0.018158572890053522,0.19066501534556196,0.9953052037697988,-3.806208068859893,-3.8563537741201284,-3.819224395743651,0.03268428235562769,-3.4505792946558973,0.08738274395788703,-3.7024430813631954,-3.806915257109648,-4.507616996785299,-3.11455109395839,27.45672039300443,25.051006106471245
stn_038,2017-01-11T03:52:44Z,525,499.84,3834,7.670454545454546,244.9093056949837,2.6540312572809213,1.5789964130071763,16.57946233657535,0.5949426588987773,3827,7.656450064020487,244.83717541292538,2.641842380917326,1.5675943804191348,16.459740994400914,0.5933716529578951,7,0.014004481434058899,0.07213028205832861,0.012188876363594867,0.011402032588041507,0.11972134217443584,0.9354457497080316,-4.479261502465256,-4.158702699694429,-3.7328486730234807,0.03557825276616224,-3.332509455805309,0.09564192085321094,-4.4254064109128715,-4.1332408134645675,-5.123229739049695,-4.7974647243437065,24.389535041982214,24.79620285103773
stn_039,2017-01-11T13:51:29Z,10,309.76,113140,365.25051652892563,10779.494594059031,141.4023659224029,96.67107594620501,1015.0462974351526,0.6836595364978193,111020,358.4065082644628,10754.733632632513,130.6680002000072,80.34002226338686,843.5702337655621,0.6148408343313915,2120,6.84400826446281,24.760961426516875,10.734365722395673,16.331053682818148,171.47606366959056,1.5213804061795482,1.2764929087405876,-3.2165260194076604,-3.025382292372628,0.03652395720158965,-0.08169395963117765,0.09782850298275195,1.0695440100297327,-3.320356402499323,1.2255487680386878,-1.8815512107958372,173.34861896049028,1054.9795231872345
stn_039,2017-01-11T13:51:29Z,30,200.64,5580,27.811004784688997,801.3889362832316,12.881863077996872,11.332369823146644,118.98988314303976,0.8797151277366958,5306,26.44537480063796,799.396745847863,9.599984738843265,5.888145699812526,61.82552984803153,0.6133494854411622,274,1.3656299840510369,1.9921904353684887,3.2818783391536086,5.444224123334117,57.16435329500823,1.6588744495440908,-0.4266186788682564,-2.7531216277148234,-3.128471790966833,0.030551134963417617,-0.5908026055985225,0.08145084941674634,-1.6548636016590077,-3.379706546651747,-1.259419652818963,-0.9361166563399412,95.74152932474098,78.92491991737484
stn_039,2017-01-11T13:51:29Z,50,240.24,10810,44.99666999666999,1283.23537488965,17.72368141928062,12.1396463035649,127.46628618743146,0.6849393202452198,10639,44.28488178488178,1280.5497932562616,16.554233811364313,10.320306404953998,108.36321725201698,0.6234239846165042,171,0.7117882117882117,2.6855816333882374,1.1694476079163056,1.8193398986109028,19.10306893541448,1.5557258711679782,-0.49030986650037833,-3.0459123264139025,-3.2307987550936503,0.025563162731574694,-1.094899502176876,0.06783674459371228,-0.41919493975984984,-3.0130369167908095,-1.0572839061297412,-1.8401678052497563,98.2327978388832,122.65021942332703
stn_039,2017-01-11T13:51:29Z,70,234.96,8897,37.86601974804222,1114.8794842996347,14.056989357736176,8.757253729698299,91.95116416183214,0.6229821697118095,8839,37.61916922029281,1113.6236604802673,13.837644243039504,8.548627680109256,89.76059064114719,0.6177805650993893,58,0.24685052774940414,1.255823819367538,0.21934511469667206,0.20862604958904235,2.1905735206849446,0.951131507430868,-1.1793501553795356,-3.3138576810589027,-3.3312325033248102,0.022117843419877437,-1.586636041252615,0.05858808173046032,-0.9546370472127281,-3.2038201421961485,-2.159948154908445,-4.438166245748147,86.40902968084391,108.26100734946316
stn_039,2017-01-11T13:51:29Z,90,286.88,5912,20.60791968767429,629.1647764663667,7.405514521946384,4.516419186745231,47.42240146082492,0.6098724367308627,5884,20.51031790295594,628.6471620850552,7.321332061788218,4.437757711751692,46.59645597339277,0.6061407506583959,28,0.09760178471834914,0.5176143813113673,0.08418246015816616,0.07866147499353851,0.8259454874321543,0.9344164431135114,-2.427006412208965,-3.636558246756305,-3.4283542969597613,0.020628786851060888,-2.0569377234687103,0.05485622965993278,-2.3131472803140993,-3.5816109146950437,-3.3036263436204507,-5.222739746965857,62.43659477936847,62.14114807285634
stn_039,2017-01-11T13:51:29Z,112.5,238.48,2072,8.688359610868837,266.07654539907816,3.1528659608767504,1.9445699559221117,20.41798453718217,0.6167626470810591,2049,8.591915464609192,265.60306360050976,3.0661792932233727,1.8619563347546584,19.550541514923914,0.6072561832472769,23,0.09644414625964443,0.4734817985683871,0.08668666765337756,0.08261362116745337,0.8674430222582603,0.9530141532004606,-3.1839151112761654,-3.5832155223306597,-3.5317600527803577,0.021059050492939088,-2.548560002400074,0.05644769999844302,-3.258163882720379,-3.6187714716471175,-3.0219216044785013,-4.1046978225269575,31.928907733129762,26.540930005259412
stn_039,2017-01-11T13:51:29Z,137.5,205.04,1818,8.866562621927429,272.2300351386026,3.2114407872224824,1.9757094917905984,20.744949663801282,0.6152096901962045,1801,8.78365197034725,271.7693643103259,3.1424036041059806,1.9125852535842571,20.0821451626347,0.6086376845689722,17,0.08291065158017948,0.460670828276725,0.06903718311650166,0.06312423820634123,0.6628045011665831,0.9143513010925981,-3.191009737161471,-3.596921268351378,-3.6369533626538217,0.022896764235548244,-3.033673859723703,0.06171353191666887,-3.1921426047355053,-3.596978475159328,-3.995066497663537,-6.817546920067081,32.5040582963233,27.27418446589213
stn_039,2017-01-11T13:51:29Z,162.5,186.56,1752,9.391080617495712,291.81032541312595,3.395961729192634,2.101545630985952,22.0662291253525,0.6188366650072878,1730,9.273156089193826,291.27106297924746,3.2790656314208664,1.981683875252219,20.8076806901483,0.6043440717572728,22,0.1179245283018868,0.5392624338784692,0.11689609777176796,0.11986175573373312,1.2585484352041978,1.0253700338890304,-3.283398928898704,-3.6716563217060627,-3.7295977845107484,0.024804392038021223,-3.4412640262178775,0.06688052591982493,-3.4967469098397634,-3.774149364438036,-2.671100701324326,-3.157783804171696,34.73944545933087,29.476978739375966
