project,profile,time,depth,vol,tot_TotParticles,tot_nparticles,tot_nnparticles,tot_biovolume,tot_flux,tot_flux_fit,tot_speed,small_TotParticles,small_nparticles,small_nnparticles,small_biovolume,small_flux,small_flux_fit,small_speed,big_TotParticles,big_nparticles,big_nnparticles,big_biovolume,big_flux,big_flux_fit,big_speed,icp,psd,psd_gam,psd_seg,icp_gam,icp_seg,small_icp,small_psd,big_icp,big_psd,smooth_TotParticles,smooth_nparticles,smooth_nnparticles,smooth_flux_fit
ETNP,stn_032,2017-01-08T06:53:16Z,10,2459.6,341040,138.65669214506426,4091.456424087648,10.861165399904417,6.179391468124899,821.8590652606115,0.5689436851941579,331094,134.61294519434054,4067.7318610336924,8.071735216068603,3.4787297125548875,462.6710517698,0.43097668833706215,9946,4.043746950723695,23.724563053955464,2.7894301838358135,2.700661755570011,359.1880134908115,0.9681768596395789,-0.32652626914266336,-4.0627904556202035,-3.8111852640029946,0.10256969824096039,-0.7717597946602401,0.19375204286128728,0.37573527579446764,-3.1712988065704995,0.6627691834019298,-5.822981295049909,288933.9947086971,117.47194450670722,3269.2694461731626,787.5065454231296
ETNP,stn_032,2017-01-08T06:53:16Z,30,292.15999999999997,12665,43.34953450164294,1276.736923093077,3.0267233356836885,1.4992152656078863,199.39563032584886,0.49532616606639324,12440,42.57940854326397,1271.8239278389499,2.6013303114441957,1.1265741819550932,149.8343662000274,0.43307617529341996,225,0.7701259583789705,4.9129952541269235,0.4253930242394927,0.372641083652793,49.561264125821474,0.8759924644250847,-1.6229876027317482,-3.7257983828965555,-3.776364679274643,0.08222416876153836,-1.27882857340634,0.14396806905104978,-0.6945596138929306,-3.136002518834956,-1.765810370067515,-4.331953196090525,17541.387266296628,60.04034524334826,1752.7946933901544,278.61649984309463
ETNP,stn_032,2017-01-08T06:53:16Z,50,291.28,9317,31.98640483383686,942.756966491423,2.262214946829198,1.1296566533919254,150.24433490112608,0.49935867278009677,9101,31.244850315847298,937.9474813650095,1.88025536732873,0.8080429655314475,107.46971441568252,0.4297517132895785,216,0.7415545179895634,4.80948512641356,0.3819595795004679,0.32161368786047795,42.77462048544356,0.8420097442799808,-1.8338034356143578,-3.679025799422578,-3.743644873888384,0.0684498746310846,-1.769875239820827,0.11703199316924542,-1.157683426868881,-3.2162465747520974,-2.0062444188039716,-4.790071395305292,9969.863923444744,34.2277668341278,1021.8230584278845,146.13458740468397
ETNP,stn_032,2017-01-08T06:53:16Z,70,315.92,9981,31.593441377563938,948.9472850601617,2.1766553382600207,1.365273708533806,181.5814032349962,0.6272346772296902,9850,31.17877943783236,946.4462152125826,1.797025625146499,0.7556071188908584,100.49574681248417,0.42047654096711,131,0.4146619397315776,2.501069847579066,0.3796297131135214,0.6096665896429476,81.08565642251203,1.6059506634577834,-1.9708783700351962,-3.6498004426731305,-3.715738162993425,0.062373173478773004,-2.225260431230466,0.1144817015446158,-1.6038142390214034,-3.444839393333573,-2.0508708097827877,-3.555217519027011,6833.632412165887,21.63089520184188,655.3474611720105,91.66011836497191
ETNP,stn_032,2017-01-08T06:53:16Z,90,294.8,5280,17.91044776119403,566.3527798149577,1.0295526484620348,0.4734137957937585,62.96403484056987,0.4598247564133344,5222,17.71370420624152,565.0913918258809,0.9150608327122284,0.3683973744911805,48.996850807327,0.4025933154621595,58,0.19674355495251017,1.2613879890767763,0.1144918157498063,0.10501642130257802,13.967184033242875,0.9172395477775073,-2.9951402093841604,-3.8368212654054554,-3.695410563283155,0.06140258129349252,-2.6267728964821053,0.12002311130576386,-3.0067068944949917,-3.8383811420191227,-3.096158377088345,-4.238185078373974,4506.309186074502,15.285987741093965,468.42897392629715,65.27952110689898
ETNP,stn_032,2017-01-08T06:53:16Z,112.5,224.4,1683,7.5,231.33086830164186,0.503358698351473,0.25675762032085564,34.148763502673795,0.5100887720064256,1643,7.32174688057041,230.19866971095388,0.40278265582809913,0.16792751336898398,22.334359278074867,0.4169184321597319,40,0.17825311942959002,1.1321985906879763,0.10057604252337382,0.08883010695187166,11.814404224598931,0.8832133848498521,-3.031429252312876,-3.415483061200743,-3.6842352334157478,0.0622095295737809,-3.0002004218804563,0.12157025459770095,-3.1676572697410257,-3.4769482253857675,-3.181179481346082,-4.2259544043909045,2607.682503832104,11.620688519750908,359.69419378043114,49.60015250679571
ETNP,stn_032,2017-01-08T06:53:16Z,137.5,210.32,1563,7.431532902244199,226.56091806705055,0.5381267002905091,0.3599819655762648,47.87760142164321,0.6689539199261578,1534,7.293647774819323,225.70815101444876,0.41009412378913995,0.1713730077976417,22.792610037086344,0.41788701143583656,29,0.13788512742487638,0.8527670526017886,0.1280325765013692,0.18860895777862308,25.08499138455687,1.4731325646376106,-3.1626562450117457,-3.490134936163963,-3.688080711477998,0.06365608794081283,-3.315440160104394,0.11979439310735453,-3.1471637272735293,-3.480399802009839,-3.197950429113832,-3.6730383321019127,2014.7541486965354,9.579470086993796,298.9218206615919,39.992358679507745
ETNP,stn_032,2017-01-08T06:53:16Z,162.5,209.44,1726,8.241023682200153,262.31062527348985,0.4708337710472798,0.21222079354469062,28.22536554144385,0.45073400973903377,1706,8.145530939648587,261.68616596961044,0.4207328427923981,0.16959603705118412,22.556272927807484,0.40309673931223805,20,0.09549274255156608,0.6244593038793825,0.05010092825488168,0.0426247564935065,5.669092613636364,0.8507777795385113,-3.744010853484404,-3.8252945104858984,-3.7088529896910467,0.06618432070132549,-3.539369158409776,0.12411274514872254,-3.7757683897410925,-3.837031416742514,-3.984584443046183,-4.583898221957693,1797.213537785686,8.581042483697889,269.1466429245719,34.450207962841056
ETNP,stn_032,2017-01-08T06:53:16Z,187.5,176,1503,8.539772727272728,271.05594936433494,0.4774395163572034,0.207741375,27.629602875,0.4351155861270923,1488,8.454545454545455,270.4698916916068,0.43863748334446456,0.17696294886363637,23.536072198863636,0.4034378172935721,15,0.08522727272727273,0.5860576727281533,0.038802033012738796,0.030778426136363637,4.093530676136364,0.7932168432066178,-3.862488526413018,-3.9159034880064523,-3.744410576025608,0.06936920825346383,-3.696614025595732,0.13357942170837508,-3.7285021707088912,-3.8344922603105953,-4.819514077793355,-5.963454055790959,1429.867209574467,8.124245508945837,255.4618020784311,31.194335949216192
ETNP,stn_032,2017-01-08T06:53:16Z,225,391.6,3195,8.158835546475995,262.1847864058514,0.4825858942377377,0.23819099591419815,31.679402456588353,0.49357222985232435,3148,8.038815117466802,261.4697834149966,0.4010745099608238,0.1593371424923391,21.1918399514811,0.3972756645838771,47,0.12002042900919305,0.7150029908548378,0.0815113842769139,0.07885385342185904,10.487562505107253,0.967396813603035,-3.456925371560646,-3.6263190522395465,-3.81776646834627,0.07305640863566888,-3.862206432309735,0.14293912984156606,-4.069304344428266,-3.9634043370472507,-3.2834396326728874,-3.536226829839255,3114.881082559972,7.95424178386101,250.0946944768029,28.819048201051082
