project,profile,time,depth,psd_gam,lb,ub,binsize,vol,TotalParticles,nparticles,n_nparticles,biovolume,speed,flux,flux_fit,GamPredictTP
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,1.02,1.29,0.27,880.78,1,0.0011353572969413474,0.004205027025708694,0.0011471088881675577,1.0051619603428203,0.0011530302187571753,0.012118347599137911,90.59715095212266
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,1.29,1.63,0.33999999999999986,880.78,1,0.0011353572969413474,0.003339286167474553,0.001296102071906771,1.0684478381718248,0.0013848174567788125,0.014554431470745317,57.286392944177955
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,1.63,2.05,0.41999999999999993,880.78,0,0,0,0,1.1354519935389218,0,0,36.287147157625974
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,2.05,2.58,0.5300000000000002,880.78,0,0,0,0,1.2051913442184854,0,0,23.196342996610326
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,2.58,3.25,0.6699999999999999,880.78,0,0,0,0,1.2794435332068914,0,0,14.808173078584453
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,3.25,4.1,0.8499999999999996,880.78,0,0,0,0,1.3585939423880398,0,0,9.436414221580856
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,4.1,5.16,1.0600000000000005,880.78,0,0,0,0,1.4431909696926972,0,0,5.996109097298744
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,5.16,6.5,1.3399999999999999,880.78,0,0,0,0,1.5321063847776535,0,0,3.8278198129700725
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,6.5,8.19,1.6899999999999995,880.78,0,0,0,0,1.6268873142339533,0,0,2.439253858600407
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,8.19,10.3,2.110000000000001,880.78,0,0,0,0,1.727642242652265,0,0,1.5536524968196546
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,10.3,13,2.6999999999999993,880.78,0,0,0,0,1.8337396618714592,0,0,0.9932208487021285
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,13,16.4,3.3999999999999986,880.78,0,0,0,0,1.9481629136098422,0,0,0.6305318150499952
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,16.4,20.6,4.200000000000003,880.78,0,0,0,0,2.069471264879894,0,0,0.4006540475630144
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,20.6,26,5.399999999999999,880.78,0,0,0,0,2.1958641949061874,0,0,0.2567413564888173
