project,profile,time,depth,vol,tot_TotParticles,tot_nparticles,tot_nnparticles,tot_biovolume,tot_flux,tot_flux_fit,tot_speed,small_TotParticles,small_nparticles,small_nnparticles,small_biovolume,small_flux,small_flux_fit,small_speed,big_TotParticles,big_nparticles,big_nnparticles,big_biovolume,big_flux,big_flux_fit,big_speed,icp,psd,psd_gam,psd_seg,icp_gam,icp_seg,small_icp,small_psd,big_icp,big_psd
ETNP,stn_032,2017-01-08T00:53:16Z,2.5,2119.92,329980,155.65681723838637,4598.116630898401,58.39130589728784,36.874434677784606,387.55030846351616,0.6315055659595609,324454,153.05011509868297,4586.088325694542,55.921651645263864,34.44182940948369,361.9836270936736,0.6158943521189909,5526,2.606702139703385,12.028305203859691,2.469654252023981,2.4326052683009114,25.56668136984258,0.9849983115277345,-0.204600755797381,-4.0607940476064845,-3.3889136501172463,0.02323960543606328,-1.9478524927820065,0.04202603599708528,0.5326078343178102,-3.147763064775351,1.2269743036072012,-6.488612797571984
ETNP,stn_032,2017-01-08T00:53:16Z,7.5,111.76,3209,28.713314244810306,809.8066635822928,11.015037573010488,7.007394126838636,73.64771227307406,0.6361661574363078,3165,28.31961345740873,807.8842647672101,10.658656983918425,6.66603817995677,70.06006127134566,0.6254107051211385,44,0.3937007874015748,1.9223988150826263,0.3563805890920636,0.3413559468818657,3.5876510017284082,0.9578410197691306,-1.4050180529793475,-3.369862424832242,-3.397366475684807,0.022875107627958538,-1.9745118541591937,0.04136645794035552,-0.8323536627649663,-3.0060744860728654,-1.5944385883436967,-4.187664749642212
ETNP,stn_032,2017-01-08T00:53:16Z,12.5,156.64,5304,33.86108273748724,970.436164824326,12.835235402256105,8.113625727235233,85.2742063932423,0.6321368851411222,5244,33.47803881511747,968.6208700556531,12.474884354799467,7.758302544366972,81.53975974129688,0.6219137848265597,60,0.3830439223697651,1.8152947686729757,0.3603510474566375,0.3553231828682595,3.734446651945407,0.9860473151837222,-1.3689380678909842,-3.420129919025363,-3.4058191920357395,0.02251281579802754,-2.0011709237770123,0.04071087139220649,-0.8355750667753191,-3.090571973695118,-1.5428497047606222,-3.57351260274054
ETNP,stn_032,2017-01-08T00:53:16Z,17.5,71.28,2547,35.73232323232323,1026.8476281116812,13.568029335259752,8.590132416123776,90.28229169346089,0.6331157019096556,2512,35.24130190796857,1024.5086055135887,13.119817950403808,8.159676864935358,85.75820385047062,0.6219352201212682,35,0.49102132435465773,2.3390225980924098,0.44821138485594375,0.43045555118841705,4.524087842990263,0.9603851346318802,-1.1561527937964036,-3.322742842570379,-3.4142716140022857,0.02215284405438231,-2.0278292069113446,0.040059482969097414,-0.7346095207742538,-3.0608774248654345,-1.3374717357409005,-4.922218260559909
ETNP,stn_032,2017-01-08T00:53:16Z,22.5,77.44,2857,36.8930785123967,1072.4054568593879,13.839561139312755,8.681119528803881,91.23856624772878,0.6272684112897361,2830,36.54442148760331,1070.637352324485,13.531135523543822,8.389188694572344,88.17037317995532,0.6199914766928004,27,0.34865702479338845,1.7681045349029543,0.3084256157689327,0.29193083423153865,3.0681930677734712,0.9465194176681108,-1.457714376588276,-3.5217999511772318,-3.422723467139583,0.021795315561617786,-2.054485970196623,0.039412515698174735,-0.8132975795540891,-3.1201206969604147,-1.8274520165736474,-4.536818058202069
ETNP,stn_032,2017-01-08T00:53:16Z,27.5,73.92,2679,36.241883116883116,1030.0743460324293,13.813273862437075,8.746222702289291,91.92280060106044,0.6331752189517652,2650,35.849567099567096,1028.0864058556267,13.465611824014381,8.416834647808015,88.46093214846223,0.6250614348467666,29,0.3923160173160173,1.9879401768026785,0.3476620384226944,0.32938805448127656,3.4618684525982166,0.947437505618028,-1.2836641749097444,-3.4325811524368235,-3.43117439005381,0.02144036265309865,-2.081140247763816,0.03877020922141705,-0.5424856769673143,-2.970527438982543,-1.695935204592047,-4.435233204541849
ETNP,stn_032,2017-01-08T00:53:16Z,32.5,62.48,2928,46.862996158770805,1384.0709406989847,17.34716020118505,10.79532237546011,113.45883816608576,0.622310640488732,2907,46.526888604353395,1382.4744337517602,17.033789929423076,10.488924649380076,110.2385980649846,0.6157716334908052,21,0.3361075544174136,1.59650694722463,0.3133702717619763,0.3063977260800338,3.220240101101155,0.9777498176749881,-1.3757440464747424,-3.5793178259110543,-3.4396239367256722,0.021088126945324186,-2.107790847364722,0.03813282000361372,-0.8386982831884713,-3.2558887548736606,-1.6846437285425053,-3.6431791699483873
ETNP,stn_032,2017-01-08T00:53:16Z,37.5,78.32,4201,53.63891726251277,1625.9516450216106,19.476779620076048,11.974522943704832,125.85223613833779,0.6148102087350146,4177,53.33248212461696,1624.42675279404,19.202073542443063,11.712576780525922,123.09918196332745,0.6099641663509503,24,0.30643513789581206,1.5248922275704657,0.27470607763298194,0.26194616317890956,2.7530541750103392,0.9535506656277182,-1.533067720345018,-3.7194268821491963,-3.4480715788241723,0.020738759452550812,-2.134436356469748,0.03750062154086946,-1.0320619855268907,-3.416160338306949,-1.8868697413374709,-4.198994854528087
ETNP,stn_032,2017-01-08T00:53:16Z,42.5,74.8,3027,40.467914438502675,1177.6832455273045,15.148073395689543,9.487697397117053,99.71569964370022,0.6263303028236463,2992,40,1175.1435519521813,14.751209595108433,9.120713158251748,95.85869529322588,0.6183027296470804,35,0.46791443850267384,2.539693575123093,0.39686380058111065,0.3669842388653042,3.857004350474347,0.9247107907749331,-1.3598617670977688,-3.5116010240246758,-3.4565167080191586,0.02039242069898778,-2.1610751483613084,0.03687390456478602,-0.8314623100772486,-3.1746185410887207,-1.9295661683057668,-5.840179017956539
ETNP,stn_032,2017-01-08T00:53:16Z,47.5,81.84,2652,32.40469208211143,965.8793404624417,11.904191504312124,7.366378239957228,77.42063530195047,0.6188054213752242,2633,32.17253176930596,964.6209024344853,11.707910051382061,7.185422175886467,75.51878706856677,0.6137237256138864,19,0.23216031280547406,1.2584380279564946,0.19628145293006266,0.18095606407076129,1.901848233383701,0.9219213602175546,-1.8199349567660192,-3.6120400511519324,-3.464958638284401,0.02004928082594135,-2.1877053882004667,0.03625297723753829,-1.2978208486815592,-3.2963388439140253,-2.6569275055029435,-5.921028976603469
ETNP,stn_032,2017-01-08T00:53:16Z,52.5,53.68,1643,30.607302533532042,909.3447584489924,11.34678993274675,7.082762905565893,74.43983813749755,0.6242085160248797,1625,30.271982116244413,907.5955310890454,11.048939632871896,6.798068515250711,71.44770009528497,0.6152688620929431,18,0.3353204172876304,1.7492273599469774,0.29785029987485384,0.2846943903151825,2.9921380422125683,0.9558304639438033,-1.5443012265316627,-3.4181203976549885,-3.4733966081959613,0.019709519690215796,-2.2143250390807143,0.03563816533118609,-1.1951314324722957,-3.2084734198877674,-1.888588688790786,-4.57616206073277
ETNP,stn_032,2017-01-08T00:53:16Z,57.5,80.96,1995,24.641798418972332,724.4855555483095,9.244734155495262,5.818832751046101,61.15593221349452,0.6294213173871815,1966,24.283596837944664,722.6403603756653,8.931875684583979,5.5250628803180595,58.0684108721428,0.6185781212622644,29,0.358201581027668,1.8451951726443,0.3128584709112832,0.2937698707280422,3.0875213413517235,0.9389864684576371,-1.5278801104728197,-3.299778773957689,-3.4818297832237635,0.019373326949729715,-2.2409318680622548,0.03502981238384478,-1.1386512831953988,-3.0596542515246825,-1.8734663689824695,-4.767999721052412
