Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume[L]	LPM (1-1.26 µm)[#/L]	LPM (1.26-1.59 µm)[#/L]	LPM (1.59-2 µm)[#/L]	LPM (2-2.52 µm)[#/L]	LPM (2.52-3.17 µm)[#/L]	LPM (3.17-4 µm)[#/L]	LPM (4-5.04 µm)[#/L]	LPM (5.04-6.35 µm)[#/L]	LPM (6.35-8 µm)[#/L]	LPM (8-10.1 µm)[#/L]	LPM (10.1-12.7 µm)[#/L]	LPM (12.7-16 µm)[#/L]	LPM (16-20.2 µm)[#/L]	LPM (20.2-25.4 µm)[#/L]	LPM (25.4-32 µm)[#/L]	LPM (32-40.3 µm)[#/L]	LPM (40.3-50.8 µm)[#/L]	LPM (50.8-64 µm)[#/L]	LPM (64-80.6 µm)[#/L]	LPM (80.6-102 µm)[#/L]	LPM (102-128 µm)[#/L]	LPM (128-161 µm)[#/L]	LPM (161-203 µm)[#/L]	LPM (203-256 µm)[#/L]	LPM (256-323 µm)[#/L]	LPM (323-406 µm)[#/L]	LPM (406-512 µm)[#/L]	LPM (512-645 µm)[#/L]	LPM (645-813 µm)[#/L]	LPM (0.813-1.02 mm)[#/L]	LPM (1.02-1.29 mm)[#/L]	LPM (1.29-1.63 mm)[#/L]	LPM (1.63-2.05 mm)[#/L]	LPM (2.05-2.58 mm)[#/L]	LPM (2.58-3.25 mm)[#/L]	LPM (3.25-4.1 mm)[#/L]	LPM (4.1-5.16 mm)[#/L]	LPM (5.16-6.5 mm)[#/L]	LPM (6.5-8.19 mm)[#/L]	LPM (8.19-10.3 mm)[#/L]	LPM (10.3-13 mm)[#/L]	LPM (13-16.4 mm)[#/L]	LPM (16.4-20.6 mm)[#/L]	LPM (20.6-26 mm)[#/L]	LPM (>26 mm)[#/L]	LPM biovolume (1-1.26 µm)[ppm]	LPM biovolume (1.26-1.59 µm)[ppm]	LPM biovolume (1.59-2 µm)[ppm]	LPM biovolume (2-2.52 µm)[ppm]	LPM biovolume (2.52-3.17 µm)[ppm]	LPM biovolume (3.17-4 µm)[ppm]	LPM biovolume (4-5.04 µm)[ppm]	LPM biovolume (5.04-6.35 µm)[ppm]	LPM biovolume (6.35-8 µm)[ppm]	LPM biovolume (8-10.1 µm)[ppm]	LPM biovolume (10.1-12.7 µm)[ppm]	LPM biovolume (12.7-16 µm)[ppm]	LPM biovolume (16-20.2 µm)[ppm]	LPM biovolume (20.2-25.4 µm)[ppm]	LPM biovolume (25.4-32 µm)[ppm]	LPM biovolume (32-40.3 µm)[ppm]	LPM biovolume (40.3-50.8 µm)[ppm]	LPM biovolume (50.8-64 µm)[ppm]	LPM biovolume (64-80.6 µm)[ppm]	LPM biovolume (80.6-102 µm)[ppm]	LPM biovolume (102-128 µm)[ppm]	LPM biovolume (128-161 µm)[ppm]	LPM biovolume (161-203 µm)[ppm]	LPM biovolume (203-256 µm)[ppm]	LPM biovolume (256-323 µm)[ppm]	LPM biovolume (323-406 µm)[ppm]	LPM biovolume (406-512 µm)[ppm]	LPM biovolume (512-645 µm)[ppm]	LPM biovolume (645-813 µm)[ppm]	LPM biovolume (0.813-1.02 mm)[ppm]	LPM biovolume (1.02-1.29 mm)[ppm]	LPM biovolume (1.29-1.63 mm)[ppm]	LPM biovolume (1.63-2.05 mm)[ppm]	LPM biovolume (2.05-2.58 mm)[ppm]	LPM biovolume (2.58-3.25 mm)[ppm]	LPM biovolume (3.25-4.1 mm)[ppm]	LPM biovolume (4.1-5.16 mm)[ppm]	LPM biovolume (5.16-6.5 mm)[ppm]	LPM biovolume (6.5-8.19 mm)[ppm]	LPM biovolume (8.19-10.3 mm)[ppm]	LPM biovolume (10.3-13 mm)[ppm]	LPM biovolume (13-16.4 mm)[ppm]	LPM biovolume (16.4-20.6 mm)[ppm]	LPM biovolume (20.6-26 mm)[ppm]	LPM biovolume (>26 mm)[ppm]	chloro fluo [mg chl/m3]	conductivity [ms/cm]	cpar [%]	depth [salt water, m]	fcdom factory [ppb qse]	in situ density anomaly [kg/m3]	neutral density [kg/m3]	nitrate [µmol/l]	oxygen [µmol/kg]	oxygen [ml/l]	par [µmol m-2 s-1]	part backscattering coef 470 nm [m-1]	pot. temperature [degc] (any ref.)	potential density anomaly [kg/m3]	potential temperature [degc]	practical salinity [psu]	practical salinity from conductivity	pressure in water column [db]	qc flag	sound speed c [m/s]	spar [µmol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
stn_035	HDR20170110081924	2017-01-10 08:19:24	2.5	607.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	684.8583662714097	0.0	0.0	139.82048748353094	53.65942028985507	43.666007905138336	17.44071146245059	11.959815546772068	9.128787878787879	5.016469038208168	4.084321475625823	1.9680500658761526	1.1478919631093543	0.9239130434782608	0.1152832674571805	0.018115942028985504	0.029644268774703556	0.4463109354413702	0.0	0.0016469038208168643	0.0	0.0	0.0	0.0016469038208168643	0.0032938076416337285	0.47266139657444	0.8580368906455862	1.263175230566535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0932587377979105	0.0	0.0	0.0782998212942113	0.068716669737434	0.121439637988373	0.105305300493957	0.139175626200431	0.223976303382901	0.256129676876543	0.412104667817672	0.384616933708118	0.464948703000175	0.687894222690093	0.178647650355625	0.0505635426766341	0.224855772060587	4.99416224466134	0.0	0.0661437980708587	0.0	0.0	0.0	1.3970598321776	6.0345180648746	1595.30460307633	5413.22011072359	37103.6450420477																																										
stn_035	HDR20170110081924	2017-01-10 08:19:24	7.5	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.53636363636364	0.0	0.0	14.163636363636364	5.327272727272727	6.8090909090909095	2.8454545454545452	1.9636363636363636	1.4090909090909092	0.7181818181818181	0.44545454545454544	0.15454545454545454	0.08181818181818182	0.1	0.03636363636363636	0.02727272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00538375750583337	0.0	0.0	0.00793167164632827	0.00682214676610008	0.018783205772317	0.0174092092364798	0.022737193679137	0.0340946160721989	0.0372970311320109	0.0446003371758028	0.0304056139134738	0.0291718859362172	0.078365075980406	0.0530625808418715	0.0903776711641171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_035	HDR20170110081924	2017-01-10 08:19:24	12.5	144.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.29711751662971	0.0	0.0	14.246119733924612	5.487804878048781	6.444013303769402	3.1042128603104215	2.473669623059867	1.462028824833703	0.7206208425720622	0.45038802660753885	0.18015521064301554	0.06929046563192905	0.05543237250554324	0.020787139689578717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00562352340858546	0.0	0.0	0.00797786253916202	0.00702772548326716	0.0176923545388257	0.0185866117108645	0.028956123862539	0.0358257754790825	0.0376257783077071	0.0438365761486846	0.036887483204511	0.0249175156858876	0.0462073357428113	0.0404390956097669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_035	HDR20170110081924	2017-01-10 08:19:24	17.5	50.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.78309409888357	0.0	0.0	14.114832535885169	5.701754385964913	5.841307814992026	3.0701754385964914	2.1730462519936204	1.4952153110047848	0.817384370015949	0.23923444976076558	0.19936204146730463	0.09968102073365231	0.019936204146730464	0.0	0.019936204146730464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0058258722551254	0.0	0.0	0.00790434138121357	0.00730171088222495	0.0159140744644949	0.0185355781936982	0.0251158291577168	0.0356442999353186	0.0425140366341773	0.0237356281406907	0.0391297079006967	0.0342574493225334	0.0131322271702563	0.0	0.0583967378763427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_035	HDR20170110081924	2017-01-10 08:19:24	22.5	69.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.29746835443038	0.0	0.0	14.369965477560415	5.451668584579977	6.559263521288838	3.049482163406214	1.9418872266973535	1.539125431530495	0.5897583429229	0.5034522439585731	0.10069044879171463	0.07192174913693901	0.028768699654775607	0.014384349827387804	0.0	0.014384349827387804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00562357118297513	0.0	0.0	0.0080472164641072	0.00698144906562386	0.0180278776414591	0.0186633150518053	0.0230040208728812	0.0363088679857903	0.0285855375085501	0.0526669769966426	0.0208544425435898	0.0278623853503263	0.0194020547170035	0.0181436080535102	0.0	0.0826055696100798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_035	HDR20170110081924	2017-01-10 08:19:24	27.5	80.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.68725296442688	0.0	0.0	13.969861660079053	5.138339920948617	6.336462450592886	2.7544466403162056	2.025691699604743	1.3092885375494072	0.6669960474308301	0.45701581027667987	0.24703557312252966	0.03705533596837945	0.03705533596837945	0.0	0.012351778656126484	0.012351778656126484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00567664904919035	0.0	0.0	0.0078231573296287	0.00658019794919877	0.017429867099502	0.0166214672988134	0.024257394516759	0.0321326158623713	0.0339771821398862	0.0450550745445246	0.0480577806379745	0.0168497169308539	0.028141527344635	0.0	0.0313616212773092	0.0589803228728163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_035	HDR20170110081924	2017-01-10 08:19:24	32.5	78.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.80694586312564	0.0	0.0	13.93003064351379	4.9795709908069465	6.652196118488254	3.0132788559754853	2.579162410623085	1.4172625127681309	0.702247191011236	0.44688457609805926	0.07660878447395301	0.03830439223697651	0.02553626149131767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00555677560792854	0.0	0.0	0.00780085186113007	0.00637687722604937	0.0180492035808508	0.0184783140300185	0.0298834194364051	0.0335764604717802	0.0357589936889631	0.0412984681366567	0.0133129987674295	0.0156697106509657	0.0221577574844898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_035	HDR20170110081924	2017-01-10 08:19:24	37.5	77.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.949380165289256	0.0	0.0	15.069731404958677	5.9400826446281	6.84400826446281	2.853822314049587	2.1952479338842976	1.3171487603305785	0.5552685950413223	0.3744834710743802	0.1291322314049587	0.1291322314049587	0.025826446280991736	0.012913223140495868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00584851581097593	0.0	0.0	0.00843908712662021	0.00760691589844001	0.0186076827060024	0.0172912360749444	0.0258985758313619	0.0316683668323434	0.0293103141965639	0.0375066587638987	0.0239758310187681	0.047490966355803	0.0162362281447431	0.0229018958656092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_035	HDR20170110081924	2017-01-10 08:19:24	42.5	48.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.34710743801653	0.0	0.0	19.31818181818182	7.12809917355372	8.264462809917356	3.3057851239669422	2.43801652892562	1.9421487603305785	0.8057851239669421	0.47520661157024796	0.2272727272727273	0.08264462809917356	0.02066115702479339	0.02066115702479339	0.02066115702479339	0.02066115702479339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00726439823160066	0.0	0.0	0.0108182299412372	0.00912829907812801	0.0226813440518374	0.0199026727656663	0.0283813896443872	0.0461701063233973	0.0393157248169973	0.046371106185814	0.0449888403193681	0.032375964727665	0.0144914897706323	0.0311226609455241	0.0542000039434492	0.132103405445001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_035	HDR20170110081924	2017-01-10 08:19:24	47.5	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.74242424242424	0.0	0.0	20.575757575757574	8.393939393939394	9.621212121212121	3.621212121212121	3.0606060606060606	2.4242424242424243	1.0	0.8181818181818182	0.25757575757575757	0.045454545454545456	0.15151515151515152	0.06060606060606061	0.015151515151515152	0.0	0.015151515151515152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00813526321970605	0.0	0.0	0.0115224754981962	0.0107493438806014	0.0266434971257316	0.0221669830500145	0.0355300483063068	0.0578489668753894	0.0513120093959268	0.0806475626910983	0.0489638721031854	0.0196384408804266	0.12894856872953	0.110791234508179	0.0647067514276808	0.0	0.151768495991168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
