Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume[L]	LPM (1-1.26 µm)[#/L]	LPM (1.26-1.59 µm)[#/L]	LPM (1.59-2 µm)[#/L]	LPM (2-2.52 µm)[#/L]	LPM (2.52-3.17 µm)[#/L]	LPM (3.17-4 µm)[#/L]	LPM (4-5.04 µm)[#/L]	LPM (5.04-6.35 µm)[#/L]	LPM (6.35-8 µm)[#/L]	LPM (8-10.1 µm)[#/L]	LPM (10.1-12.7 µm)[#/L]	LPM (12.7-16 µm)[#/L]	LPM (16-20.2 µm)[#/L]	LPM (20.2-25.4 µm)[#/L]	LPM (25.4-32 µm)[#/L]	LPM (32-40.3 µm)[#/L]	LPM (40.3-50.8 µm)[#/L]	LPM (50.8-64 µm)[#/L]	LPM (64-80.6 µm)[#/L]	LPM (80.6-102 µm)[#/L]	LPM (102-128 µm)[#/L]	LPM (128-161 µm)[#/L]	LPM (161-203 µm)[#/L]	LPM (203-256 µm)[#/L]	LPM (256-323 µm)[#/L]	LPM (323-406 µm)[#/L]	LPM (406-512 µm)[#/L]	LPM (512-645 µm)[#/L]	LPM (645-813 µm)[#/L]	LPM (0.813-1.02 mm)[#/L]	LPM (1.02-1.29 mm)[#/L]	LPM (1.29-1.63 mm)[#/L]	LPM (1.63-2.05 mm)[#/L]	LPM (2.05-2.58 mm)[#/L]	LPM (2.58-3.25 mm)[#/L]	LPM (3.25-4.1 mm)[#/L]	LPM (4.1-5.16 mm)[#/L]	LPM (5.16-6.5 mm)[#/L]	LPM (6.5-8.19 mm)[#/L]	LPM (8.19-10.3 mm)[#/L]	LPM (10.3-13 mm)[#/L]	LPM (13-16.4 mm)[#/L]	LPM (16.4-20.6 mm)[#/L]	LPM (20.6-26 mm)[#/L]	LPM (>26 mm)[#/L]	LPM biovolume (1-1.26 µm)[ppm]	LPM biovolume (1.26-1.59 µm)[ppm]	LPM biovolume (1.59-2 µm)[ppm]	LPM biovolume (2-2.52 µm)[ppm]	LPM biovolume (2.52-3.17 µm)[ppm]	LPM biovolume (3.17-4 µm)[ppm]	LPM biovolume (4-5.04 µm)[ppm]	LPM biovolume (5.04-6.35 µm)[ppm]	LPM biovolume (6.35-8 µm)[ppm]	LPM biovolume (8-10.1 µm)[ppm]	LPM biovolume (10.1-12.7 µm)[ppm]	LPM biovolume (12.7-16 µm)[ppm]	LPM biovolume (16-20.2 µm)[ppm]	LPM biovolume (20.2-25.4 µm)[ppm]	LPM biovolume (25.4-32 µm)[ppm]	LPM biovolume (32-40.3 µm)[ppm]	LPM biovolume (40.3-50.8 µm)[ppm]	LPM biovolume (50.8-64 µm)[ppm]	LPM biovolume (64-80.6 µm)[ppm]	LPM biovolume (80.6-102 µm)[ppm]	LPM biovolume (102-128 µm)[ppm]	LPM biovolume (128-161 µm)[ppm]	LPM biovolume (161-203 µm)[ppm]	LPM biovolume (203-256 µm)[ppm]	LPM biovolume (256-323 µm)[ppm]	LPM biovolume (323-406 µm)[ppm]	LPM biovolume (406-512 µm)[ppm]	LPM biovolume (512-645 µm)[ppm]	LPM biovolume (645-813 µm)[ppm]	LPM biovolume (0.813-1.02 mm)[ppm]	LPM biovolume (1.02-1.29 mm)[ppm]	LPM biovolume (1.29-1.63 mm)[ppm]	LPM biovolume (1.63-2.05 mm)[ppm]	LPM biovolume (2.05-2.58 mm)[ppm]	LPM biovolume (2.58-3.25 mm)[ppm]	LPM biovolume (3.25-4.1 mm)[ppm]	LPM biovolume (4.1-5.16 mm)[ppm]	LPM biovolume (5.16-6.5 mm)[ppm]	LPM biovolume (6.5-8.19 mm)[ppm]	LPM biovolume (8.19-10.3 mm)[ppm]	LPM biovolume (10.3-13 mm)[ppm]	LPM biovolume (13-16.4 mm)[ppm]	LPM biovolume (16.4-20.6 mm)[ppm]	LPM biovolume (20.6-26 mm)[ppm]	LPM biovolume (>26 mm)[ppm]	chloro fluo [mg chl/m3]	conductivity [ms/cm]	cpar [%]	depth [salt water, m]	fcdom factory [ppb qse]	in situ density anomaly [kg/m3]	neutral density [kg/m3]	nitrate [µmol/l]	oxygen [µmol/kg]	oxygen [ml/l]	par [µmol m-2 s-1]	part backscattering coef 470 nm [m-1]	pot. temperature [degc] (any ref.)	potential density anomaly [kg/m3]	potential temperature [degc]	practical salinity [psu]	practical salinity from conductivity	pressure in water column [db]	qc flag	sound speed c [m/s]	spar [µmol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
stn_043	HDR20170113115131	2017-01-13 11:51:31	2.5	708.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1048.4274421230944	0.0	0.0	176.44692264257483	65.957086391869	54.65979672501412	23.6815358554489	18.848108413325804	15.460191981931112	8.52343308865048	5.863918690005646	5.741106719367589	4.22360248447205	3.5897797854319595	1.2916431394692265	0.30067758328627897	0.818746470920384	1.101072840203275	0.0028232636928289105	0.0	0.0	0.88085827216262	0.08328627893845285	0.8935629587803501	0.07058159232072275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142766774475444	0.0	0.0	0.0988107162225024	0.0844651563127371	0.153103626724279	0.144184000360711	0.221833362041379	0.378465207360872	0.431173859932534	0.597278117626198	1.21482588708155	1.73122766835199	2.64374743768044	1.91548281015232	0.953192762328093	5.73991703944938	13.8328966403442	0.0579094098300492	0.0	0.0	193.676761558275	25.0188177794363	888.44260643051	84.6850359166793	0.0	0.0	0.0																																										
stn_043	HDR20170113115131	2017-01-13 11:51:31	7.5	102.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.7012432012432	0.0	0.0	8.906371406371408	3.350815850815851	4.4386169386169385	1.8550893550893552	1.3306138306138307	1.048951048951049	0.5633255633255634	0.5244755244755245	0.32051282051282054	0.08741258741258742	0.135975135975136	0.0	0.009712509712509714	0.019425019425019428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00418065884974522	0.0	0.0	0.00498759017401434	0.00429108076322257	0.0120145042565623	0.0113952567021608	0.0156008748169274	0.0256345233828407	0.0286254903198316	0.0518552099964848	0.0642658871409427	0.0346306877965663	0.110355172716323	0.0	0.0238558166599521	0.107364819561379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_043	HDR20170113115131	2017-01-13 11:51:31	12.5	144.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.824833702882486	0.0	0.0	8.94539911308204	3.637749445676275	4.573170731707317	1.5728935698447895	1.378880266075388	0.8661308203991132	0.49889135254988914	0.3880266075388027	0.1593680709534368	0.10393569844789358	0.09007760532150777	0.05543237250554324	0.006929046563192905	0.006929046563192905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00392514385565696	0.0	0.0	0.00500944578699327	0.00465853014989301	0.0125834634194981	0.00948368810879301	0.0158089876448445	0.0206861235999552	0.0252600272304737	0.0391946330102855	0.0312880442423179	0.0432594788943807	0.0726438756759611	0.0815617012871613	0.0292154366200672	0.0338902141202953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_043	HDR20170113115131	2017-01-13 11:51:31	17.5	80.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.796203796203798	0.0	0.0	8.978521478521479	3.459040959040959	4.420579420579421	1.998001998001998	1.560939060939061	1.0364635364635364	0.6243756243756244	0.24975024975024976	0.12487512487512488	0.06243756243756244	0.04995004995004995	0.024975024975024976	0.012487512487512488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00392124525546221	0.0	0.0	0.00502799439414968	0.00442967467607199	0.0123524519133871	0.0121019940312913	0.0184187443205985	0.0255817535482875	0.0309705986496101	0.0218928312583715	0.0259892080888017	0.0195181639742541	0.0362202425848679	0.0307761276253474	0.0306717642770813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_043	HDR20170113115131	2017-01-13 11:51:31	22.5	78.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.456077630234937	0.0	0.0	9.729315628192033	3.6644535240040863	4.673135852911134	2.0812053115423903	1.4427987742594486	1.174668028600613	0.54902962206333	0.44688457609805926	0.10214504596527069	0.07660878447395301	0.06384065372829419	0.012768130745658836	0.02553626149131767	0.012768130745658836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401110179208108	0.0	0.0	0.00544844098825033	0.00469272759968248	0.0129659407603008	0.0125259805292478	0.0167454236578094	0.027484373653146	0.0279078832121258	0.045574743926478	0.021500186886902	0.0288961296552482	0.0488754048708009	0.0209033594635859	0.0892868000823172	0.0631966592142562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_043	HDR20170113115131	2017-01-13 11:51:31	27.5	72.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.988913525498894	0.0	0.0	10.033259423503326	3.8248337028824837	4.781042128603104	2.2865853658536586	1.3996674057649667	0.9839246119733925	0.7621951219512195	0.3880266075388027	0.22172949002217296	0.06929046563192905	0.04157427937915743	0.0	0.01385809312638581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00408365928059696	0.0	0.0	0.0056186502707717	0.00489811170045893	0.0131817834417272	0.0138221452263237	0.0168312935476845	0.0231684465697979	0.0401758304508473	0.039383866461671	0.0411301002492377	0.0284137513176555	0.0324017742131677	0.0	0.0318003235066704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_043	HDR20170113115131	2017-01-13 11:51:31	32.5	59.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.949197860962563	0.0	0.0	11.463903743315507	4.3449197860962565	5.213903743315508	2.406417112299465	1.2700534759358288	1.2032085561497325	0.6183155080213903	0.48462566844919786	0.16711229946524064	0.15040106951871657	0.11697860962566844	0.01671122994652406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042144234056525	0.0	0.0	0.00641981465370997	0.00556413797174896	0.0144481525610587	0.0144294357214554	0.0146973889543442	0.0284126931065266	0.0299510713489609	0.0487523667249089	0.0328619907383418	0.0601756068361511	0.0945686513393883	0.0308120893110596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_043	HDR20170113115131	2017-01-13 11:51:31	37.5	63.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.36679292929293	0.0	0.0	12.752525252525253	5.003156565656566	6.076388888888889	2.8724747474747474	2.162247474747475	1.8150252525252526	1.0890151515151516	0.6786616161616161	0.20517676767676768	0.1736111111111111	0.0946969696969697	0.0	0.015782828282828284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00563301126966818	0.0	0.0	0.0071414459089213	0.00640708109610152	0.0162988536936951	0.0177385029028127	0.0257175792853797	0.042265082441455	0.0545791508721963	0.0666460311246822	0.0392543572480571	0.0669576132926663	0.0721768086955711	0.0	0.052837446573496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_043	HDR20170113115131	2017-01-13 11:51:31	42.5	53.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.00596125186289	0.0	0.0	16.486587183308494	6.7064083457526085	7.283904619970194	3.4836065573770494	2.9061102831594634	1.9932935916542474	1.0804769001490313	0.44709388971684055	0.27943368107302535	0.29806259314456035	0.13040238450074515	0.05588673621460507	0.0	0.0	0.018628912071535022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00694559897459552	0.0	0.0	0.00923252989199126	0.00858827853394795	0.0202374073297498	0.0209202358530206	0.0336409443206888	0.0481978647896787	0.0546844723464172	0.0420008135665935	0.0568200302000423	0.12682544467164	0.104830059822028	0.0694158222893216	0.0	0.0	0.252804291195622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
stn_043	HDR20170113115131	2017-01-13 11:51:31	47.5	58.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.13774104683196	0.0	0.0	22.916666666666668	8.023415977961433	9.607438016528926	4.097796143250688	3.0647382920110195	1.756198347107438	0.7920110192837466	0.3615702479338843	0.24104683195592289	0.06887052341597796	0.03443526170798898	0.01721763085399449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0102316788932046	0.0	0.0	0.0128333904204873	0.0102748487207914	0.0261948146084294	0.0254006439333159	0.0368149226911472	0.0426213140551994	0.0379701783590274	0.0336687988071838	0.0523895629991565	0.0245586263093486	0.0270864559708105	0.0217173490337471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																										
