depth,lb,binsize,link,n_nparticles,nparticles,profile,project,time,tot_flux2
20,0.102,0.02600000000000001,7.07480554292472,1181.8136664297547,30.727155327173634,multiple,ETNP,togetawatch,1623.8273971926621
20,0.128,0.033,6.439112594416498,625.8511694909797,20.65308859320233,multiple,ETNP,togetawatch,1354.8907266521323
20,0.161,0.04200000000000001,5.7900718351912985,327.03651626289616,13.735533683041641,multiple,ETNP,togetawatch,1120.6920348323583
20,0.203,0.05299999999999999,5.114768306200624,166.4622082534772,8.82249703743429,multiple,ETNP,togetawatch,907.3470188340729
20,0.256,0.067,4.406328484361879,81.96796370171141,5.4918535680146645,multiple,ETNP,togetawatch,710.9144415251714
20,0.323,0.08300000000000002,3.6531449758983032,38.59585842010312,3.2034562488685596,multiple,ETNP,togetawatch,533.1716801060675
20,0.406,0.10599999999999998,2.8653957277097275,17.555999225494954,1.860935917902465,multiple,ETNP,togetawatch,383.37457384081057
20,0.512,0.133,2.0220541869106325,7.553825977638773,1.004658855025957,multiple,ETNP,togetawatch,262.4702917622985
20,0.645,0.16799999999999993,1.14987471771183,3.1577972688394724,0.5305099411650311,multiple,ETNP,togetawatch,174.22219265769348
20,0.813,0.20700000000000007,0.2629297896584921,1.3007353906696766,0.26925222586862313,multiple,ETNP,togetawatch,114.07669706223882
20,1.02,0.27,-0.592867824474467,0.5527398487123963,0.14923975915234702,multiple,ETNP,togetawatch,76.34323036635217
20,1.29,0.33999999999999986,-1.4343909946775724,0.23826042170469308,0.08100854337959561,multiple,ETNP,togetawatch,52.66367048287977
20,1.63,0.41999999999999993,-2.196599702111294,0.11118056338890232,0.04669583662333897,multiple,ETNP,togetawatch,39.25666272800775
20,2.05,0.5300000000000002,-2.8438766749378916,0.058199607110985,0.030845791768822062,multiple,ETNP,togetawatch,32.52085707773411
20,2.58,0.6699999999999999,-3.376447365128135,0.034168628024368965,0.022892980776327204,multiple,ETNP,togetawatch,30.257061474527713
20,3.25,0.8499999999999996,-3.787339036876985,0.022655807982011823,0.019257436784710043,multiple,ETNP,togetawatch,31.851695671903347
20,4.1,1.0600000000000005,-4.082267896003714,0.016869164726593475,0.017881314610189093,multiple,ETNP,togetawatch,37.76378332909577
20,5.16,1.3399999999999999,-4.276132940897821,0.013896296115041012,0.018621036794154954,multiple,ETNP,togetawatch,49.29901643908998
20,6.5,1.6899999999999995,-4.402004795838154,0.012252750999228861,0.020707149188696768,multiple,ETNP,togetawatch,69.01231539322835
20,8.19,2.110000000000001,-4.494790213083419,0.011167023064737163,0.02356241866659543,multiple,ETNP,togetawatch,99.90752975246066
20,10.3,2.6999999999999993,-4.59080161345724,0.010144722966629624,0.027390752009899978,multiple,ETNP,togetawatch,143.62582177906933
20,13,3.3999999999999986,-4.726407103523327,0.008858240674755772,0.030118018294169612,multiple,ETNP,togetawatch,199.88511502546868
20,16.4,4.200000000000003,-4.926196274428676,0.0072540432607562065,0.030466981695176087,multiple,ETNP,togetawatch,260.64058134399863
20,20.6,5.399999999999999,-5.199336500762589,0.005520225871597669,0.029809219706627407,multiple,ETNP,togetawatch,313.1044003066497
20,26,6,-5.558717125846838,0.003853717061819943,0.023122302370919657,multiple,ETNP,togetawatch,348.3796613546103
40,0.102,0.02600000000000001,6.4631909837135915,641.1035470368479,16.66869222295805,multiple,ETNP,togetawatch,880.8846383210329
40,0.128,0.033,5.811530974560158,334.13027925047794,11.026299215265773,multiple,ETNP,togetawatch,723.3509161904423
40,0.161,0.04200000000000001,5.144904788231261,171.55514982418865,7.205316292615925,multiple,ETNP,togetawatch,587.8869189882357
40,0.203,0.05299999999999999,4.450408652816671,85.66194284475077,4.54008297077179,multiple,ETNP,togetawatch,466.9234493715528
40,0.256,0.067,3.7213997907357363,41.322196071087426,2.7685871367628576,multiple,ETNP,togetawatch,358.3905786579567
40,0.323,0.08300000000000002,2.945158136575511,19.01366890523046,1.5781345191341285,multiple,ETNP,togetawatch,262.6590056590619
40,0.406,0.10599999999999998,2.129351238819056,8.409409342998304,0.8913973903578201,multiple,ETNP,togetawatch,183.63829262666266
40,0.512,0.133,1.2471212674253431,3.4803096420383666,0.46288118239110276,multiple,ETNP,togetawatch,120.9291675335221
40,0.645,0.16799999999999993,0.3196620155274701,1.3766623951831256,0.231279282390765,multiple,ETNP,togetawatch,75.95330561747625
40,0.813,0.20700000000000007,-0.6451409616432064,0.5245885900248546,0.10858983813514493,multiple,ETNP,togetawatch,46.00730793967428
40,1.02,0.27,-1.6024858422125416,0.20139525839192315,0.05437671976581925,multiple,ETNP,togetawatch,27.816276756455956
40,1.29,0.33999999999999986,-2.575094367998902,0.07614663665382047,0.025889856462298952,multiple,ETNP,togetawatch,16.831000937649172
40,1.63,0.41999999999999993,-3.4886532881323657,0.03054197572885587,0.012827629806119463,multiple,ETNP,togetawatch,10.78404357460174
40,2.05,0.5300000000000002,-4.294388285499155,0.013644915937816917,0.0072318054470429695,multiple,ETNP,togetawatch,7.624525028240006
40,2.58,0.6699999999999999,-4.983325318781045,0.006851242071895002,0.004590332188169651,multiple,ETNP,togetawatch,6.06692350650875
40,3.25,0.8499999999999996,-5.53585202375665,0.0039428478044385455,0.003351420633772762,multiple,ETNP,togetawatch,5.543231494869724
40,4.1,1.0600000000000005,-5.9474705412470215,0.0026124402278442193,0.0027691866415148736,multiple,ETNP,togetawatch,5.848281662043205
40,5.16,1.3399999999999999,-6.22580483023976,0.001977731436575575,0.0026501601250112704,multiple,ETNP,togetawatch,7.016273530492234
