depth,lb,binsize,link,n_nparticles,nparticles,profile,project,time,flux
10,0.102,0.02600000000000001,7.552693359397409,1905.8690150003088,49.552594390008046,multiple,ETNP,togetawatch,68.08591122114359
10,0.128,0.033,6.9053273603965195,997.5750264248143,32.919975872018874,multiple,ETNP,togetawatch,71.26769462919917
10,0.161,0.04200000000000001,6.260886759478498,523.6831152379025,21.99469083999191,multiple,ETNP,togetawatch,75.37162857117845
10,0.203,0.05299999999999999,5.608745457575786,272.80178182806657,14.458494436887525,multiple,ETNP,togetawatch,78.80991104096377
10,0.256,0.067,4.9434069712762305,140.24725489586305,9.396566078022826,multiple,ETNP,togetawatch,81.49713893005361
10,0.323,0.08300000000000002,4.25430667720914,70.40798480156386,5.843862738529801,multiple,ETNP,togetawatch,80.72840564127175
10,0.406,0.10599999999999998,3.550079147307913,34.81607297700404,3.6905037355624275,multiple,ETNP,togetawatch,80.59041691141773
10,0.512,0.133,2.8110358633607517,16.62713273890067,2.2114086542737894,multiple,ETNP,togetawatch,76.83908477785026
10,0.645,0.16799999999999993,2.059445020523476,7.8416166661648585,1.3173915999156958,multiple,ETNP,togetawatch,72.68321351436543
10,0.813,0.20700000000000007,1.3053723186858943,3.6890623448900466,0.7636359053922399,multiple,ETNP,togetawatch,66.97216241685354
10,1.02,0.27,0.5849118029996498,1.7948326798004637,0.4846048235461252,multiple,ETNP,togetawatch,66.93256830823742
10,1.29,0.33999999999999986,-0.11968833446306615,0.8871969023314488,0.30164694679269244,multiple,ETNP,togetawatch,66.6742520406788
10,1.63,0.41999999999999993,-0.7584002237079908,0.46841518743730753,0.19673437872366914,multiple,ETNP,togetawatch,69.46479597827008
10,2.05,0.5300000000000002,-1.3063207403974602,0.27081462293040526,0.14353175015311487,multiple,ETNP,togetawatch,80.2028701662053
10,2.58,0.6699999999999999,-1.768242388160843,0.1706326313536576,0.11432386300695059,multiple,ETNP,togetawatch,101.23626118496082
10,3.25,0.8499999999999996,-2.141916335832538,0.11742959272676377,0.09981515381774916,multiple,ETNP,togetawatch,140.32966316502342
10,4.1,1.0600000000000005,-2.433934529921813,0.08769112956575896,0.09295259733970454,multiple,ETNP,togetawatch,208.08628066092385
10,5.16,1.3399999999999999,-2.654982927845772,0.07030003882808884,0.09420205202963904,multiple,ETNP,togetawatch,334.1947000235953
10,6.5,1.6899999999999995,-2.8300893675483003,0.05900758007104499,0.09972281032006601,multiple,ETNP,togetawatch,561.6781111556592
10,8.19,2.110000000000001,-2.9831280153149002,0.05063420133451886,0.10683816481583486,multiple,ETNP,togetawatch,955.8444599028459
10,10.3,2.6999999999999993,-3.1376733824827925,0.04338361765678283,0.1171357676733136,multiple,ETNP,togetawatch,1658.3716427883044
10,13,3.3999999999999986,-3.320001860467494,0.036152764492940685,0.12291939927599828,multiple,ETNP,togetawatch,2773.6611777961016
10,16.4,4.200000000000003,-3.544930046558105,0.028870642039828125,0.12125669656727821,multiple,ETNP,togetawatch,4356.800028492467
10,20.6,5.399999999999999,-3.817834474827955,0.02197533755140262,0.11866682277757411,multiple,ETNP,togetawatch,6730.721757824441
10,26,6,-4.153303086035025,0.01571243116417139,0.09427458698502834,multiple,ETNP,togetawatch,8522.5116845188
30,0.102,0.02600000000000001,6.7547519563711305,858.1268705848718,22.311298635206676,multiple,ETNP,togetawatch,30.65601542774958
30,0.128,0.033,6.119696165250028,454.7265117922179,15.005974889143191,multiple,ETNP,togetawatch,32.48608808738177
30,0.161,0.04200000000000001,5.468089219659191,237.00689171040213,9.954289451836893,multiple,ETNP,togetawatch,34.11145956594522
30,0.203,0.05299999999999999,4.785246893129759,119.73092017659854,6.345738769359722,multiple,ETNP,togetawatch,34.58915519077327
30,0.256,0.067,4.063153827737069,58.15744069711867,3.8965485267069515,multiple,ETNP,togetawatch,33.79506449398065
30,0.323,0.08300000000000002,3.288993028732102,26.815847268094977,2.2257153232518836,multiple,ETNP,togetawatch,30.746521179016575
30,0.406,0.10599999999999998,2.4719612246781253,11.845656077982024,1.2556395442660944,multiple,ETNP,togetawatch,27.419702461687255
30,0.512,0.133,1.5884199935405627,4.896007091031448,0.6511689431071827,multiple,ETNP,togetawatch,22.625951801091762
30,0.645,0.16799999999999993,0.6642182473724718,1.9429710047829876,0.3264191288035418,multiple,ETNP,togetawatch,18.009217028193614
30,0.813,0.20700000000000007,-0.2876412402273649,0.750030624793547,0.1552563393322643,multiple,ETNP,togetawatch,13.616243946342069
30,1.02,0.27,-1.2186517143177285,0.2956284899973591,0.07981969229928695,multiple,ETNP,togetawatch,11.024522967126448
30,1.29,0.33999999999999986,-2.147319509304469,0.11679681131984448,0.03971091584874711,multiple,ETNP,togetawatch,8.77746531240439
30,1.63,0.41999999999999993,-3.0006435524181376,0.04975503808731154,0.020897115996670844,multiple,ETNP,togetawatch,7.378547199835898
30,2.05,0.5300000000000002,-3.7346935594654798,0.023880487897079167,0.012656658585451964,multiple,ETNP,togetawatch,7.072305215982641
30,2.58,0.6699999999999999,-4.344714062319712,0.012975217821074228,0.008693395940119732,multiple,ETNP,togetawatch,7.698190726154278
30,3.25,0.8499999999999996,-4.817665989992523,0.008085637090440741,0.006872791526874627,multiple,ETNP,togetawatch,9.662425824947668
30,4.1,1.0600000000000005,-5.155345719860852,0.005768485450338911,0.006114594577359249,multiple,ETNP,togetawatch,13.688302207437639
30,5.16,1.3399999999999999,-5.3713930478920435,0.004647652396238704,0.006227854210959862,multiple,ETNP,togetawatch,22.094167005699266
30,6.5,1.6899999999999995,-5.502015933725643,0.00407854107681143,0.006892734419811315,multiple,ETNP,togetawatch,38.82259271666558
30,8.19,2.110000000000001,-5.587348664768423,0.003744943815102235,0.00790183144986572,multiple,ETNP,togetawatch,70.69497896617536
30,10.3,2.6999999999999993,-5.670715482470112,0.0034453992712355913,0.009302578032336094,multiple,ETNP,togetawatch,131.7029966173712
30,13,3.3999999999999986,-5.795011896279317,0.003042694229734252,0.010345160381096452,multiple,ETNP,togetawatch,233.43727593960384
30,16.4,4.200000000000003,-5.99068174750303,0.0025019577651813137,0.010508222613761525,multiple,ETNP,togetawatch,377.564504716979
30,20.6,5.399999999999999,-6.270267797180108,0.001891721917576077,0.010215298354910814,multiple,ETNP,togetawatch,579.4065206324892
