lat,long,press,pdens,13CW,NEPIW,AAIW,biogeo,chi-squared parameter
14,-107,250.83,26.502,0.68926,0.27181,0.038927,0.13407,0.010892
14,-107,225.12,26.451,0.7938,0.18009,0.026116,0.10823,0.013457
13.999,-107,199.27,26.4,0.8717,0.12768,0.00062128,0,0.014271
13.999,-107,180.82,26.356,0.9556,0.046317,0,0,0.0086426
13.999,-107,158.94,26.27,1.0235,0,0,0,0.039246
13.999,-107,141.34,26.209,1.0488,0,0,0,0.11955
14,-108,550.05,26.986,0,0.37089,0.66455,1.4322,0.09434
14,-108,499.68,26.914,0,0.57388,0.4497,1.4343,0.046005
14,-108,463.24,26.865,0,0.71051,0.30313,1.0391,0.023437
14,-108,436.49,26.832,0,0.80177,0.20526,0.83301,0.014117
14,-108,382.76,26.741,0.029744,0.95967,0.010588,0.032109,0.017665
14,-108,332.47,26.667,0.24668,0.73128,0.022042,0.085023,0.017033
14,-108,279.27,26.586,0.48364,0.47711,0.039246,0.16936,0.020864
14,-108,222.16,26.464,0.7209,0.27939,0,0,0.01355
14,-108,190.56,26.396,0.84212,0.16251,0,0,0.01507
14,-108,160.74,26.291,0.9851,0.030434,0,0,0.030269
14,-108,131.28,26.04,1.0537,0.016638,0,0,0.27767
14.001,-109,525.56,26.956,0,0.42881,0.61008,1.675,0.10214
14.001,-109,480.97,26.894,0,0.58846,0.44344,1.2377,0.06929
14.001,-109,400.55,26.782,0,0.92402,0.076375,0.28037,0.0067818
14.001,-109,349.53,26.711,0.18633,0.74876,0.064913,0.24879,0.007465
14.001,-109,300.77,26.633,0.27024,0.73347,0,0,0.016933
14.001,-109,251.27,26.564,0.40366,0.60523,0,0,0.01862
14.001,-109,201.34,26.467,0.75476,0.21923,0.026013,0.092065,0.011176
14.001,-109,149.1,26.361,0.93631,0.06694,0,0,0.0091328
14.001,-109,120.72,26.152,1.0501,0,0,0,0.14133
14.001,-110,473.39,26.931,0,0.57206,0.43967,1.7812,0.0215
14.001,-110,375.03,26.757,0.068185,0.8598,0.072014,0.2791,0.008042
14.001,-110,296.78,26.641,0.24461,0.75935,0,0,0.019356
14.001,-110,251.32,26.562,0.47719,0.52336,0,0,0.014849
14.001,-110,227.2,26.512,0.61547,0.37981,0.0047205,0,0.010135
14.001,-110,198.52,26.457,0.7252,0.27651,0,0,0.012363
14.001,-110,174.8,26.389,0.82251,0.18675,0,0,0.018077
14.001,-110,162.29,26.321,0.88547,0.13374,0,0,0.020378
14.001,-110,146.25,26.23,0.91138,0.12807,0,0,0.079725
14.001,-110,131.44,26.083,0.92414,0.15064,0,0,0.29952
14.001,-110,513.18,26.986,0,0.43454,0.58053,2.1837,0.021375
14.001,-110,444.03,26.888,0,0.67131,0.33871,1.2105,0.011687
14.001,-110,393.42,26.813,0,0.86105,0.13921,0.47132,0.0018487
14.001,-110,333.77,26.719,0.1287,0.83106,0.040235,0.075651,0.0014699
14.001,-110,289.48,26.629,0.28914,0.71244,0,0,0.015842
14,-110,215.29,26.498,0.64819,0.34236,0.0094449,0,0.0058901
14,-110,187.4,26.436,0.79931,0.18906,0.011637,0,0.0032358
14,-110,152.19,26.276,0.89025,0.1395,0,0,0.047362
14,-111,421.35,26.864,0,0.69738,0.32109,0.53827,0.024592
14,-111,371.04,26.795,0.0144,0.76444,0.22116,0,0.32351
14,-111,275.13,26.653,0.21498,0.78693,0,0,0.023953
14,-111,249.9,26.606,0.25694,0.75538,0,0,0.017957
14,-111,225.76,26.559,0.36275,0.6516,0,0,0.025609
14,-111,200.06,26.496,0.43422,0.58998,0,0,0.042593
14,-111,160.22,26.386,0.65989,0.36841,0,0,0.054399
14,-111,150.29,26.308,0.73813,0.30183,0,0,0.082462
14,-111,139.85,26.246,0.75761,0.29593,0,0,0.14286
14,-111,131.57,26.203,0.75779,0.30682,0,0,0.20722
14.001,-112,499.09,26.97,0,0.38089,0.66228,1.6947,0.14164
14.001,-112,400.36,26.83,0,0.76586,0.2425,0,0.092027
14.001,-112,320.42,26.701,0.11227,0.88889,0,0,0.028537
14.001,-112,309.82,26.679,0.16061,0.84146,0,0,0.029797
14.001,-112,300.13,26.66,0.13007,0.87846,0,0,0.063441
14.001,-112,290.53,26.646,0.17163,0.83489,0,0,0.089997
14.001,-112,280.95,26.627,0.16555,0.84543,0,0,0.15866
14.001,-112,269.8,26.615,0.17838,0.835,0,0,0.15771
14.001,-112,262.01,26.604,0.20259,0.81362,0,0,0.098391
14.001,-112,250.34,26.588,0.23757,0.7796,0,0,0.087623
14.001,-112,230.99,26.552,0.32843,0.69166,0,0,0.062941
14.001,-112,215.06,26.523,0.37603,0.64685,0,0,0.066881
14.001,-112,199.37,26.477,0.46378,0.56196,0,0,0.062432
14.001,-112,177.15,26.417,0.5438,0.48688,0,0,0.10129
14.001,-112,152.08,26.316,0.71459,0.32621,0,0,0.1092
14.001,-112,138.01,26.249,0.63045,0.43708,0,0,0.27154
14.001,-112,124,26.127,0.73151,0.35623,0,0,0.45163
14.001,-112,115.64,26.033,0.79706,0.3056,0,0,0.57131
13.999,-113,451.61,26.901,0,0.62604,0.3899,1.3944,0.033424
13.999,-113,390.06,26.817,0,0.83237,0.17462,0.67445,0.014747
13.999,-113,349.6,26.757,0.041402,0.9055,0.053095,0.20837,0.0050807
13.999,-113,270.38,26.621,0.33191,0.66888,0,0.0025613,0.013375
13.999,-113,241,26.562,0.46116,0.54167,0,0,0.016115
13.999,-113,208.13,26.508,0.5824,0.42145,0,0,0.013128
13.999,-113,178.56,26.447,0.70003,0.30709,0,0,0.020499
13.999,-113,160.77,26.395,0.75875,0.25603,0,0,0.033612
13.999,-113,156.07,26.374,0.77157,0.24714,0,0,0.028096
13.999,-113,150.22,26.358,0.78654,0.23458,0,0,0.037389
13.999,-113,144.87,26.326,0.79042,0.2385,0,0,0.050701
13.999,-113,140.23,26.302,0.80998,0.22279,0,0,0.05791
13.999,-113,130.28,26.246,0.82648,0.21903,0,0,0.11757
13.999,-113,120.33,26.167,0.83575,0.22939,0,0,0.43342
13.999,-113,110.47,26.054,0.82633,0.26589,0,0,0.40699
13.999,-114,500.97,26.925,0,0.51704,0.50999,0,0.070901
13.999,-114,398.75,26.785,0.047816,0.73161,0.22057,0,0.34213
13.999,-114,326.35,26.691,0.17363,0.76045,0.06592,0,0.15067
13.999,-114,298.81,26.661,0.21336,0.75552,0.031114,0,0.14401
13.998,-114,280.02,26.628,0.26667,0.71666,0.016668,0,0.20074
13.998,-114,259.31,26.587,0.33479,0.67068,0,0,0.086289
13.998,-114,240.16,26.548,0.41045,0.5907,0,0,0.32536
13.998,-113.99,200.63,26.471,0.53151,0.48626,0,0,0.062304
13.998,-113.99,180.07,26.427,0.62146,0.39997,0,0,0.049277
